,AUC,F1,P,R
logit_l1,0.6591413509958934,0.9006518335620071,0.8336721165164646,0.980564412481472
logit_l2,0.6581787389398565,0.9019366009818128,0.8328000589118233,0.9846232118263252
SVM_linear,0.5921853203206822,0.8999816677912698,0.818738613861386,1.0
RF,0.690068097924498,0.8940829722367682,0.8400521676410264,0.957007673585354
AdaBoost,0.5829153935627942,0.8665319130616312,0.8402743462814735,0.8964800403332557
GBM,0.6505063416926702,0.881758601969975,0.8406052259744803,0.9288166077596489
NN_l2,0.5640666024028408,0.8997470883586329,0.8186633663366336,1.0
